antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Normal', 'http', 'Medium', 'SF'})",frozenset({'normal'}),0.10578755160368371,0.5338599555414417,0.09903937758018419,0.9362101313320826,1.7536624008117947,1.0,0.042563639984203636,7.307430696953292,0.48060706132823205,0.1831999412585359,0.8631529957010837,0.5608628915267001
"frozenset({'Normal', 'SF', 'tcp', 'Medium', 'http'})",frozenset({'normal'}),0.10578755160368371,0.5338599555414417,0.09903937758018419,0.9362101313320826,1.7536624008117947,1.0,0.042563639984203636,7.307430696953292,0.48060706132823205,0.1831999412585359,0.8631529957010837,0.5608628915267001
"frozenset({'Zero', 'Normal', 'Medium', 'SF'})",frozenset({'normal'}),0.13198634487138775,0.5338599555414417,0.12345188948872658,0.9353383458646617,1.752029415497253,1.0,0.05298966528361013,7.2089099898823585,0.4945006622173776,0.22760538641686182,0.8612827734839954,0.5832911522616491
"frozenset({'Zero', 'Medium', 'http', 'SF'})","frozenset({'Normal', 'normal'})",0.15294537948555098,0.36876786281359164,0.09880120673229596,0.6459901375551518,1.7517528035833565,1.0,0.042399866012195586,1.783091953503835,0.5066299026273736,0.23362117514548525,0.4391764271971691,0.456956317432043
"frozenset({'Zero', 'SF', 'tcp', 'Medium', 'http'})","frozenset({'Normal', 'normal'})",0.15294537948555098,0.36876786281359164,0.09880120673229596,0.6459901375551518,1.7517528035833565,1.0,0.042399866012195586,1.783091953503835,0.5066299026273736,0.23362117514548525,0.4391764271971691,0.456956317432043
"frozenset({'Zero', 'http'})","frozenset({'Normal', 'normal'})",0.3149015560495395,0.36876786281359164,0.20331851381390917,0.6456573805622086,1.7508504554492095,1.0,0.08719293999284604,1.7814174828529983,0.6259669646126148,0.42327080406577966,0.43864927248919366,0.5985014566966047
"frozenset({'Zero', 'http', 'tcp'})","frozenset({'Normal', 'normal'})",0.3149015560495395,0.36876786281359164,0.20331851381390917,0.6456573805622086,1.7508504554492095,1.0,0.08719293999284604,1.7814174828529983,0.6259669646126148,0.42327080406577966,0.43864927248919366,0.5985014566966047
"frozenset({'High', 'SF', 'tcp'})","frozenset({'Low', 'normal'})",0.1468323277230867,0.48170053985392186,0.1237694506192442,0.8429305217626386,1.7499057028631555,1.0,0.05304023908702536,3.2998101602071324,0.5022935701099576,0.24520289399182132,0.6969522634789301,0.54993662470497
"frozenset({'Medium', 'http', 'SF', 'tcp'})","frozenset({'Normal', 'normal'})",0.1535011114639568,0.36876786281359164,0.09903937758018419,0.6452029997414016,1.7496182959618287,1.0,0.04243310076610993,1.7791360601310795,0.506139782495824,0.2340086287750891,0.43792944091846236,0.4568856764046082
"frozenset({'Medium', 'http', 'SF'})","frozenset({'Normal', 'normal'})",0.1535011114639568,0.36876786281359164,0.09903937758018419,0.6452029997414016,1.7496182959618287,1.0,0.04243310076610993,1.7791360601310795,0.506139782495824,0.2340086287750891,0.43792944091846236,0.4568856764046082
"frozenset({'Normal', 'Medium', 'tcp'})",frozenset({'normal'}),0.16370276278183551,0.5338599555414417,0.15274690377897746,0.9330746847720659,1.7477892377706807,1.0,0.06535255411825557,6.965078055605408,0.5115987652298645,0.2803642987249545,0.8564265910566197,0.6095963058777424
"frozenset({'Medium', 'SF', 'tcp'})","frozenset({'Zero', 'normal'})",0.21292473801206732,0.4732851698952048,0.17600825658939345,0.8266219239373601,1.7465620655732599,1.0,0.0752341357844602,3.037955213636689,0.5430822802761394,0.34497782618843853,0.6708312237418024,0.5992540970856808
"frozenset({'Normal', 'Medium', 'SF'})",frozenset({'normal'}),0.16124166402032392,0.5338599555414417,0.15024610987615117,0.9318069916297391,1.7454146578285663,1.0,0.06416564229083296,6.835598774695545,0.5091695930269996,0.2757540434212444,0.853707036799488,0.6066202777317407
frozenset({'udp'}),"frozenset({'Low', 'normal', 'SF'})",0.11952207049857097,0.4771752937440457,0.09951571927596062,0.8326137495848556,1.7448802578439133,1.0,0.04248274017690847,3.1234626796362677,0.4848443743479216,0.20015968063872255,0.6798425009142571,0.5205827253872202
"frozenset({'http', 'SF'})","frozenset({'Normal', 'normal'})",0.2819942838996507,0.36876786281359164,0.18140679580819308,0.6432995495495495,1.7444566471746232,1.0,0.07741636640886967,1.769642108355266,0.5943624023374178,0.3865020297699594,0.4349139889480726,0.5676131762817715
"frozenset({'http', 'SF', 'tcp'})","frozenset({'Normal', 'normal'})",0.2819942838996507,0.36876786281359164,0.18140679580819308,0.6432995495495495,1.7444566471746232,1.0,0.07741636640886967,1.769642108355266,0.5943624023374178,0.3865020297699594,0.4349139889480726,0.5676131762817715
"frozenset({'Zero', 'Medium', 'http', 'tcp'})","frozenset({'Normal', 'normal'})",0.1542950142902509,0.36876786281359164,0.0991187678628136,0.6423977360432209,1.7420111696879248,1.0,0.04221972520020519,1.7651793649234309,0.5036636594751531,0.23380149812734077,0.4334853330650749,0.45559068718199797
"frozenset({'Zero', 'Medium', 'http'})","frozenset({'Normal', 'normal'})",0.1542950142902509,0.36876786281359164,0.0991187678628136,0.6423977360432209,1.7420111696879248,1.0,0.04221972520020519,1.7651793649234309,0.5036636594751531,0.23380149812734077,0.4334853330650749,0.45559068718199797
"frozenset({'Zero', 'Normal', 'http', 'Medium'})",frozenset({'normal'}),0.10658145442997777,0.5338599555414417,0.0991187678628136,0.9299813780260708,1.7419950089399046,1.0,0.04221919733928347,6.657372443463991,0.4767592350879705,0.183104788443206,0.8497905880297008,0.5578228698443239
"frozenset({'Zero', 'Normal', 'tcp', 'Medium', 'http'})",frozenset({'normal'}),0.10658145442997777,0.5338599555414417,0.0991187678628136,0.9299813780260708,1.7419950089399046,1.0,0.04221919733928347,6.657372443463991,0.4767592350879705,0.183104788443206,0.8497905880297008,0.5578228698443239
"frozenset({'Zero', 'http', 'SF', 'tcp'})","frozenset({'Normal', 'normal'})",0.2793347094315656,0.36876786281359164,0.17934264845982853,0.6420349580787268,1.7410274126931415,1.0,0.07633298465309447,1.7633904523147108,0.5906021984463383,0.3825895503429588,0.4329106190365542,0.5641821722578779
"frozenset({'Zero', 'http', 'SF'})","frozenset({'Normal', 'normal'})",0.2793347094315656,0.36876786281359164,0.17934264845982853,0.6420349580787268,1.7410274126931415,1.0,0.07633298465309447,1.7633904523147108,0.5906021984463383,0.3825895503429588,0.4329106190365542,0.5641821722578779
"frozenset({'Zero', 'Normal', 'Low'})","frozenset({'normal', 'tcp'})",0.3224039377580184,0.4239838043823436,0.23797237218164496,0.738118689977838,1.7409124649304086,1.0,0.10127832410315199,2.1995315189499793,0.6280859708808305,0.4680668332292317,0.5453577312329747,0.64969786198171
